,ID,Name
46,R_rxn00123_c0,pyridoxal-5'-phosphate phosphohydrolase_c0
47,R_rxn00124_c0,ATP:pyridoxal 5'-phosphotransferase_c0
48,R_rxn00124_d0,ATP:pyridoxal 5'-phosphotransferase_d0
49,R_rxn00126_c0,ATP:L-methionine S-adenosyltransferase_c0
50,R_rxn00126_n0,ATP:L-methionine S-adenosyltransferase_n0
51,R_rxn00128_c0,S-adenosyl-L-methionine methylthioadenosine-lyase (1-aminocyclopropane-1-carboxylate-forming)_c0
52,R_rxn00134_c0,ATP:adenosine 5'-phosphotransferase_c0
53,R_rxn00138_c0,deamido-NAD+:ammonia ligase (AMP-forming)_c0
54,R_rxn00139_c0,AMP:diphosphate phospho-D-ribosyltransferase_c0
55,R_rxn00141_c0,S-Adenosyl-L-homocysteine hydrolase_c0
56,R_rxn00148_c0,ATP:pyruvate 2-O-phosphotransferase_c0
57,R_rxn00148_d0,ATP:pyruvate 2-O-phosphotransferase_d0
58,R_rxn00151_d0,"ATP:pyruvate,phosphate phosphotransferase_d0"
59,R_rxn00154_d0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)_d0
60,R_rxn00154_m0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)_m0
61,R_rxn00154_n0,pyruvate:NAD+ 2-oxidoreductase (CoA-acetylating)_n0
62,R_rxn00159_m0,(S)-malate:NAD+ oxidoreductase (decarboxylating)_m0
63,R_rxn00161_c0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)_c0
64,R_rxn00161_d0,(S)-Malate:NADP+ oxidoreductase(oxaloacetate-decarboxylating)_d0
65,R_rxn00166_c0,D-serine ammonia-lyase_c0
66,R_rxn00168_c0,pyruvate carboxy-lyase (acetaldehyde-forming)_c0
67,R_rxn00175_d0,Acetate:CoA ligase (AMP-forming)_d0
68,R_rxn00178_c0,Acetyl-CoA:acetyl-CoA C-acetyltransferase_c0
69,R_rxn00178_x0,Acetyl-CoA:acetyl-CoA C-acetyltransferase_x0
70,R_rxn00179_c0,ATP:L-glutamate 5-phosphotransferase_c0
71,R_rxn00179_d0,ATP:L-glutamate 5-phosphotransferase_d0
72,R_rxn00184_c0,L-Glutamate:NADP+ oxidoreductase (deaminating)_c0
73,R_rxn00187_c0,L-Glutamate:ammonia ligase (ADP-forming)_c0
74,R_rxn00187_d0,L-Glutamate:ammonia ligase (ADP-forming)_d0
75,R_rxn00187_m0,L-Glutamate:ammonia ligase (ADP-forming)_m0
76,R_rxn00189_c0,L-Glutamine amidohydrolase_c0
77,R_rxn00191_c0,L-Alanine:2-oxoglutarate aminotransferase_c0
78,R_rxn00191_d0,L-Alanine:2-oxoglutarate aminotransferase_d0
79,R_rxn00191_m0,L-Alanine:2-oxoglutarate aminotransferase_m0
80,R_rxn00191_x0,L-Alanine:2-oxoglutarate aminotransferase_x0
81,R_rxn00192_d0,acetyl-CoA:L-glutamate N-acetyltransferase_d0
82,R_rxn00208_c0,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)_c0
83,R_rxn00208_d0,Pyridoxamine-5'-phosphate:oxygen oxidoreductase (deaminating)_d0
84,R_rxn00209_c0,Pyridoxine 5-phosphate:oxygen oxidoreductase_c0
85,R_rxn00209_d0,Pyridoxine 5-phosphate:oxygen oxidoreductase_d0
86,R_rxn00211_c0,UDP-glucose:NAD+ 6-oxidoreductase_c0
87,R_rxn00213_c0,UTP:alpha-D-glucose-1-phosphate uridylyltransferase_c0
88,R_rxn00237_c0,ATP:GDP phosphotransferase_c0
89,R_rxn00237_d0,ATP:GDP phosphotransferase_d0
90,R_rxn00237_m0,ATP:GDP phosphotransferase_m0
91,R_rxn00237_n0,ATP:GDP phosphotransferase_n0
92,R_rxn00237_x0,ATP:GDP phosphotransferase_x0
93,R_rxn00239_c0,ATP:GMP phosphotransferase_c0
94,R_rxn00247_c0,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_c0
95,R_rxn00247_n0,ATP:oxaloacetate carboxy-lyase (transphosphorylating;phosphoenolpyruvate-forming)_n0
96,R_rxn00248_c0,(S)-malate:NAD+ oxidoreductase_c0
97,R_rxn00248_d0,(S)-malate:NAD+ oxidoreductase_d0
98,R_rxn00248_m0,(S)-malate:NAD+ oxidoreductase_m0
99,R_rxn00248_x0,(S)-malate:NAD+ oxidoreductase_x0
100,R_rxn00257_c0,"acetyl-CoA:oxaloacetate C-acetyltransferase [(pro-S)-carboxymethyl-forming, ADP-phosphorylating]_c0"
101,R_rxn00260_c0,L-Aspartate:2-oxoglutarate aminotransferase_c0
102,R_rxn00260_d0,L-Aspartate:2-oxoglutarate aminotransferase_d0
103,R_rxn00260_m0,L-Aspartate:2-oxoglutarate aminotransferase_m0
104,R_rxn00260_x0,L-Aspartate:2-oxoglutarate aminotransferase_x0
105,R_rxn00272_d0,L-Alanine:glyoxylate aminotransferase_d0
106,R_rxn00272_m0,L-Alanine:glyoxylate aminotransferase_m0
107,R_rxn00272_x0,L-Alanine:glyoxylate aminotransferase_x0
108,R_rxn00275_d0,Glycine:2-oxoglutarate aminotransferase_d0
109,R_rxn00275_m0,Glycine:2-oxoglutarate aminotransferase_m0
110,R_rxn00275_x0,Glycine:2-oxoglutarate aminotransferase_x0
111,R_rxn00285_m0,Succinate:CoA ligase (ADP-forming)_m0
112,R_rxn00299_c0,"GTP 7,8-8,9-dihydrolase_c0"
113,R_rxn00300_d0,"GTP 7,8-8,9-dihydrolase (diphosphate-forming)_d0"
114,R_rxn00313_d0,"meso-2,6-diaminoheptanedioate carboxy-lyase (L-lysine-forming)_d0"
115,R_rxn00330_c0,"acetyl-CoA:glyoxylate C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)_c0"
116,R_rxn00333_d0,Glycolate:oxygen 2-oxidoreductase_d0
117,R_rxn00333_x0,Glycolate:oxygen 2-oxidoreductase_x0
118,R_rxn00337_d0,ATP:L-aspartate 4-phosphotransferase_d0
119,R_rxn00338_c0,L-aspartate:oxygen oxidoreductase_c0
120,R_rxn00338_d0,L-aspartate:oxygen oxidoreductase_d0
121,R_rxn00343_m0,3-Cyano-L-alanine aminohydrolase_m0
122,R_rxn00361_c0,ATP:adenylylsulfate 3'-phosphotransferase_c0
123,R_rxn00361_d0,ATP:adenylylsulfate 3'-phosphotransferase_d0
124,R_rxn00363_c0,Cytidine-5'-monophosphate phosphohydrolase_c0
125,R_rxn00364_c0,ATP:CMP phosphotransferase_c0
126,R_rxn00366_c0,CDP phosphohydrolase_c0
127,R_rxn00366_g0,CDP phosphohydrolase_g0
128,R_rxn00371_c0,Formate:NAD+ oxidoreductase_c0
129,R_rxn00371_m0,Formate:NAD+ oxidoreductase_m0
130,R_rxn00383_c0,Sulfite:oxygen oxidoreductase_c0
131,R_rxn00383_x0,Sulfite:oxygen oxidoreductase_x0
132,R_rxn00391_c0,riboflavin-5-phosphate phosphohydrolase (acid optimum)_c0
133,R_rxn00391_d0,riboflavin-5-phosphate phosphohydrolase (acid optimum)_d0
134,R_rxn00392_c0,ATP:riboflavin 5'-phosphotransferase_c0
135,R_rxn00392_d0,ATP:riboflavin 5'-phosphotransferase_d0
136,R_rxn00394_d0,L-Arginine amidinohydrolase_d0
137,R_rxn00394_m0,L-Arginine amidinohydrolase_m0
138,R_rxn00408_c0,CTP phosphohydrolase_c0
139,R_rxn00408_g0,CTP phosphohydrolase_g0
140,R_rxn00409_c0,ATP:CDP phosphotransferase_c0
141,R_rxn00409_d0,ATP:CDP phosphotransferase_d0
142,R_rxn00409_m0,ATP:CDP phosphotransferase_m0
143,R_rxn00409_n0,ATP:CDP phosphotransferase_n0
144,R_rxn00409_x0,ATP:CDP phosphotransferase_x0
145,R_rxn00412_c0,UTP:L-glutamine amido-ligase (ADP-forming)_c0
146,R_rxn00414_d0,"hydrogen-carbonate:L-glutamine amido-ligase (ADP-forming, carbamate-phosphorylating)_d0"
147,R_rxn00416_c0,L-aspartate:L-glutamine amido-ligase (AMP-forming)_c0
148,R_rxn00420_d0,O-phospho-L-serine phosphohydrolase_d0
149,R_rxn00424_x0,L-Serine:glyoxylate aminotransferase_x0
150,R_rxn00425_c0,serine racemase_c0
151,R_rxn00437_c0,ATP:thiamine-diphosphate phosphotransferase_c0
152,R_rxn00439_c0,Thiamin-triphosphate phosphohydrolase_c0
153,R_rxn00440_c0,ATP:thiamine diphosphotransferase_c0
154,R_rxn00451_c0,S-Adenosyl-L-methionine:L-methionine S-methyltransferase_c0
155,R_rxn00452_c0,S-Adenosyl-L-methionine:L-homocysteine S-methyltransferase_c0
156,R_rxn00454_c0,L-Methionine:glyoxylate aminotransferase_c0
157,R_rxn00456_c0,L-methionine methanethiol-lyase (deaminating;2-oxobutanoate-forming)_c0
158,R_rxn00459_c0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_c0
159,R_rxn00459_d0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_d0
160,R_rxn00459_n0,2-phospho-D-glycerate hydro-lyase (phosphoenolpyruvate-forming)_n0
161,R_rxn00469_c0,N2-Acetyl-L-ornithine amidohydrolase_c0
162,R_rxn00493_c0,L-Phenylalanine:2-oxoglutarate aminotransferase_c0
163,R_rxn00493_d0,L-Phenylalanine:2-oxoglutarate aminotransferase_d0
164,R_rxn00493_m0,L-Phenylalanine:2-oxoglutarate aminotransferase_m0
165,R_rxn00493_x0,L-Phenylalanine:2-oxoglutarate aminotransferase_x0
166,R_rxn00495_c0,L-phenylalanine ammonia-lyase (trans-cinnamate-forming)_c0
167,R_rxn00499_c0,(S)-Lactate:NAD+ oxidoreductase_c0
168,R_rxn00506_c0,Acetaldehyde:NAD+ oxidoreductase_c0
169,R_rxn00506_d0,Acetaldehyde:NAD+ oxidoreductase_d0
170,R_rxn00506_m0,Acetaldehyde:NAD+ oxidoreductase_m0
171,R_rxn00527_c0,L-tyrosine:2-oxoglutarate aminotransferase_c0
172,R_rxn00527_d0,L-tyrosine:2-oxoglutarate aminotransferase_d0
173,R_rxn00527_m0,L-tyrosine:2-oxoglutarate aminotransferase_m0
174,R_rxn00527_x0,L-tyrosine:2-oxoglutarate aminotransferase_x0
175,R_rxn00533_c0,Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_c0
176,R_rxn00533_d0,Acetyl-CoA:carbon-dioxide ligase (ADP-forming)_d0
177,R_rxn00541_c0,L-threonine acetaldehyde-lyase (glycine-forming)_c0
178,R_rxn00543_c0,ethanol:NAD+ oxidoreductase_c0
179,R_rxn00571_c0,nitrite:NAD+ oxidoreductase_c0
180,R_rxn00578_c0,sucrose-6F-phosphate phosphohydrolase_c0
181,R_rxn00611_c0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_c0
182,R_rxn00611_d0,sn-Glycerol-3-phosphate:NAD+ 2-oxidoreductase_d0
183,R_rxn00654_c0,N-Carbamoyl-beta-alanine amidohydrolase_c0
184,R_rxn00686_c0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase_c0"
185,R_rxn00686_m0,"5,6,7,8-tetrahydrofolate:NADP+ oxidoreductase_m0"
186,R_rxn00689_c0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_c0
187,R_rxn00689_d0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_d0
188,R_rxn00689_m0,Tetrahydrofolate:L-glutamate gamma-ligase (ADP-forming)_m0
189,R_rxn00690_c0,Formate:tetrahydrofolate ligase (ADP-forming)_c0
190,R_rxn00692_c0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_c0"
191,R_rxn00692_d0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_d0"
192,R_rxn00692_m0,"5,10-Methylenetetrahydrofolate:glycine hydroxymethyltransferase_m0"
193,R_rxn00693_c0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_c0
194,R_rxn00693_d0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_d0
195,R_rxn00693_x0,5-Methyltetrahydrofolate:L-homocysteine S-methyltransferase_x0
196,R_rxn00708_c0,Uridine 5'-monophosphate phosphohydrolase_c0
197,R_rxn00710_c0,orotidine-5'-phosphate carboxy-lyase (UMP-forming)_c0
198,R_rxn00711_d0,UMP:diphosphate phospho-alpha-D-ribosyltransferase_d0
199,R_rxn00720_d0,"5,6-Dihydrouracil:NADP+ oxidoreductase_d0"
200,R_rxn00737_d0,L-threonine ammonia-lyase (2-oxobutanoate-forming)_d0
201,R_rxn00747_c0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_c0
202,R_rxn00747_d0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_d0
203,R_rxn00747_m0,D-glyceraldehyde-3-phosphate aldose-ketose-isomerase_m0
204,R_rxn00770_c0,ATP:D-ribose-5-phosphate diphosphotransferase_c0
205,R_rxn00770_d0,ATP:D-ribose-5-phosphate diphosphotransferase_d0
206,R_rxn00777_c0,D-ribose-5-phosphate aldose-ketose-isomerase_c0
207,R_rxn00777_d0,D-ribose-5-phosphate aldose-ketose-isomerase_d0
208,R_rxn00777_n0,D-ribose-5-phosphate aldose-ketose-isomerase_n0
209,R_rxn00779_c0,D-glyceraldehyde 3-phosphate:NADP+ oxidoreductase_c0
210,R_rxn00781_c0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_c0
211,R_rxn00781_d0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_d0
212,R_rxn00781_m0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_m0
213,R_rxn00781_n0,D-glyceraldehyde-3-phosphate:NAD+ oxidoreductase (phosphorylating)_n0
214,R_rxn00782_d0,D-glyceraldehyde-3-phosphate:NADP+ oxidoreductase (phosphorylating)_d0
215,R_rxn00789_d0,1-(5-phospho-D-ribosyl)-ATP:diphosphate phospho-alpha-D-ribosyl-transferase_d0
216,R_rxn00790_d0,5-phosphoribosylamine:diphosphate phospho-alpha-D-ribosyltransferase (glutamate-amidating)_d0
217,R_rxn00791_d0,N-(5-Phospho-D-ribosyl)anthranilate:pyrophosphate phosphoribosyl-transferase_d0
218,R_rxn00799_m0,(S)-malate hydro-lyase (fumarate-forming)_m0
219,R_rxn00800_d0,"N6-(1,2-dicarboxyethyl)AMP AMP-lyase (fumarate-forming)_d0"
220,R_rxn00802_d0,2-(Nomega-L-arginino)succinate arginine-lyase (fumarate-forming)_d0
221,R_rxn00829_c0,ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming)_c0
222,R_rxn00829_x0,ATP:(R)-5-diphosphomevalonate carboxy-lyase (adding ATP; isopentenyl-diphosphate-forming)_x0
223,R_rxn00830_c0,Isopentenyl-diphosphate delta3-delta2-isomerase_c0
224,R_rxn00830_d0,Isopentenyl-diphosphate delta3-delta2-isomerase_d0
225,R_rxn00830_m0,Isopentenyl-diphosphate delta3-delta2-isomerase_m0
226,R_rxn00832_d0,"IMP 1,2-hydrolase (decyclizing)_d0"
227,R_rxn00834_c0,IMP:NAD+ oxidoreductase_c0
228,R_rxn00838_d0,IMP:L-aspartate ligase (GDP-forming)_d0
229,R_rxn00839_c0,ATP:dADP phosphotransferase_c0
230,R_rxn00839_d0,ATP:dADP phosphotransferase_d0
231,R_rxn00839_m0,ATP:dADP phosphotransferase_m0
232,R_rxn00839_n0,ATP:dADP phosphotransferase_n0
233,R_rxn00839_x0,ATP:dADP phosphotransferase_x0
234,R_rxn00863_d0,L-histidinal:NAD+ oxidoreductase_d0
235,R_rxn00899_d0,3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)_d0
236,R_rxn00899_m0,3-methyl-2-oxobutanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)_m0
237,R_rxn00907_c0,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_c0"
238,R_rxn00907_d0,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_d0"
239,R_rxn00907_m0,"5,10-methylenetetrahydrofolate:NADP+ oxidoreductase_m0"
240,R_rxn00908_m0,glycine synthase_m0
241,R_rxn00912_c0,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase_c0"
242,R_rxn00912_m0,"5,10-Methylenetetrahydrofolate:3-methyl-2-oxobutanoate hydroxymethyltransferase_m0"
243,R_rxn00915_c0,GMP:diphosphate 5-phospho-alpha-D-ribosyltransferase_c0
244,R_rxn00917_c0,Xanthosine-5'-phosphate:L-glutamine amido-ligase (AMP-forming)_c0
245,R_rxn00929_c0,L-Proline:NAD+ 5-oxidoreductase_c0
246,R_rxn00929_d0,L-Proline:NAD+ 5-oxidoreductase_d0
247,R_rxn00931_c0,L-Proline:NADP+ 5-oxidoreductase_c0
248,R_rxn00931_d0,L-Proline:NADP+ 5-oxidoreductase_d0
249,R_rxn00937_m0,L-asparagine hydro-lyase (3-cyanoalanine-forming)_m0
250,R_rxn00938_c0,Nicotinamide amidohydrolase_c0
251,R_rxn00940_c0,Nicotinamide D-ribonucleotide phosphoribohydrolase_c0
252,R_rxn00943_x0,Palmitoyl-CoA hydrolase_x0
253,R_rxn00947_d0,Palmitate:CoA ligase (AMP-forming)_d0
254,R_rxn00947_r0,Palmitate:CoA ligase (AMP-forming)_r0
255,R_rxn00947_x0,Palmitate:CoA ligase (AMP-forming)_x0
256,R_rxn00965_c0,4-Hydroxybenzoyl-CoA hydrolase_c0
257,R_rxn00974_c0,citrate hydro-lyase (cis-aconitate-forming)_c0
258,R_rxn00974_d0,citrate hydro-lyase (cis-aconitate-forming)_d0
259,R_rxn00974_m0,citrate hydro-lyase (cis-aconitate-forming)_m0
260,R_rxn00979_c0,glycolaldehyde:NAD+ oxidoreductase_c0
261,R_rxn00980_c0,2-Phosphoglycolate phosphohydrolase_c0
262,R_rxn00980_d0,2-Phosphoglycolate phosphohydrolase_d0
263,R_rxn00980_n0,2-Phosphoglycolate phosphohydrolase_n0
264,R_rxn01000_d0,prephenate hydro-lyase (decarboxylating; phenylpyruvate-forming)_d0
265,R_rxn01005_c0,UTP:1-phospho-alpha-D-glucuronate uridylyltransferase_c0
266,R_rxn01007_c0,UDP-D-glucuronate carboxy-lyase (UDP-D-xylose-forming)_c0
267,R_rxn01009_c0,UDP-D-glucuronate carboxy-lyase (UDP-D-apiose-forming)_c0
268,R_rxn01011_d0,D-Glycerate:NAD+ 2-oxidoreductase_d0
269,R_rxn01011_x0,D-Glycerate:NAD+ 2-oxidoreductase_x0
270,R_rxn01018_d0,carbamoyl-phosphate:L-aspartate carbamoyltransferase_d0
271,R_rxn01019_d0,Carbamoyl-phosphate:L-ornithine carbamoyltransferase_d0
272,R_rxn01021_c0,Methylthioadenosine methylthioribohydrolase_c0
273,R_rxn01069_d0,O-phospho-L-homoserine phosphate-lyase (adding water;L-threonine-forming)_d0
274,R_rxn01100_c0,ATP:3-phospho-D-glycerate 1-phosphotransferase_c0
275,R_rxn01100_d0,ATP:3-phospho-D-glycerate 1-phosphotransferase_d0
276,R_rxn01101_d0,3-Phospho-D-glycerate:NAD+ 2-oxidoreductase_d0
277,R_rxn01102_d0,ATP:(R)-glycerate 3-phosphotransferase_d0
278,R_rxn01106_c0,"2-Phospho-D-glycerate 2,3-phosphomutase_c0"
279,R_rxn01106_d0,"2-Phospho-D-glycerate 2,3-phosphomutase_d0"
280,R_rxn01111_d0,ATP:D-ribulose-5-phosphate 1-phosphotransferase_d0
281,R_rxn01115_c0,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)_c0
282,R_rxn01115_d0,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)_d0
283,R_rxn01115_m0,6-phospho-D-gluconate:NADP+ 2-oxidoreductase (decarboxylating)_m0
284,R_rxn01116_d0,D-Ribulose-5-phosphate 3-epimerase_d0
285,R_rxn01169_m0,ATP:beta-D-glucose 6-phosphotransferase_m0
286,R_rxn01179_c0,Malonyl-CoA:4-Coumaroyl-CoA malonyltransferase(cyclizing)_c0
287,R_rxn01179_n0,Malonyl-CoA:4-Coumaroyl-CoA malonyltransferase(cyclizing)_n0
288,R_rxn01179_r0,Malonyl-CoA:4-Coumaroyl-CoA malonyltransferase(cyclizing)_r0
289,R_rxn01181_c0,4-Hydroxycinnamyl aldehyde:NADP+ oxidoreductase (CoA-hydroxycinnamoylating)_c0
290,R_rxn01182_c0,4-Coumarate:CoA ligase (AMP-forming)_c0
291,R_rxn01200_d0,Sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glycolaldehyde transferase_d0
292,R_rxn01207_d0,4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)_d0
293,R_rxn01207_m0,4-methyl-2-oxopentanoate:NAD+ oxidoreductase (CoA-mehtylpropanoylating)_m0
294,R_rxn01208_d0,R01652_d0
295,R_rxn01211_c0,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_c0"
296,R_rxn01211_d0,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_d0"
297,R_rxn01211_m0,"5,10-Methenyltetrahydrofolate 5-hydrolase (decyclizing)_m0"
298,R_rxn01213_c0,GPPSYN-RXN_c0
299,R_rxn01213_m0,GPPSYN-RXN_m0
300,R_rxn01217_c0,dCMP aminohydrolase_c0
301,R_rxn01249_c0,Pyridoxine:NADP+ 4-oxidoreductase_c0
302,R_rxn01249_d0,Pyridoxine:NADP+ 4-oxidoreductase_d0
303,R_rxn01253_c0,Pyridoxamine:pyruvate aminotransferase_c0
304,R_rxn01255_d0,5-O-(1-Carboxyvinyl)-3-phosphoshikimate phosphate-lyase (chorismate-forming)_d0
305,R_rxn01256_c0,Chorismate pyruvatemutase_c0
306,R_rxn01256_d0,Chorismate pyruvatemutase_d0
307,R_rxn01257_d0,chorismate:L-glutamine aminotransferase_d0
308,R_rxn01258_d0,chorismate hydroxymutase_d0
309,R_rxn01262_c0,S-Adenosyl-L-methionine:nicotinate N-methyltransferase_c0
310,R_rxn01263_c0,UDP-glucose:nicotinate N-glucosyltransferase_c0
311,R_rxn01265_c0,Nicotinate D-ribonucleotide:diphosphate phosphoribosyltransferase_c0
312,R_rxn01275_c0,ATP:D-Gluconate 6-phosphotransferase_c0
313,R_rxn01301_d0,L-Homoserine:NAD+ oxidoreductase_d0
314,R_rxn01302_d0,L-homoserine:NADP+ oxidoreductase_d0
315,R_rxn01332_d0,"Phosphoenolpyruvate:D-erythrose-4-phosphate C-(1-carboxyvinyl)transferase (phosphate hydrolysing, 2-carboxy-2-oxoethyl-forming)_d0"
316,R_rxn01334_c0,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_c0"
317,R_rxn01334_d0,"Sedoheptulose 1,7-bisphosphate D-glyceraldehyde-3-phosphate-lyase_d0"
318,R_rxn01345_c0,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase_c0"
319,R_rxn01345_d0,"Sedoheptulose 1,7-bisphosphate 1-phosphohydrolase_d0"
320,R_rxn01353_c0,ATP:dGDP phosphotransferase_c0
321,R_rxn01353_d0,ATP:dGDP phosphotransferase_d0
322,R_rxn01353_m0,ATP:dGDP phosphotransferase_m0
323,R_rxn01353_n0,ATP:dGDP phosphotransferase_n0
324,R_rxn01353_x0,ATP:dGDP phosphotransferase_x0
325,R_rxn01362_c0,Orotidine-5'-phosphate:diphosphate phospho-alpha-D-ribosyl-transferase_c0
326,R_rxn01396_c0,ATP:pyridoxine 5'-phosphotransferase_c0
327,R_rxn01396_d0,ATP:pyridoxine 5'-phosphotransferase_d0
328,R_rxn01399_c0,UDP-glucose:pyridoxine 5'-O-beta-D-glucosyltransferase_c0
329,R_rxn01426_c0,S-Adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase_c0
330,R_rxn01427_c0,Caffeate:CoA ligase (AMP-forming)_c0
331,R_rxn01429_c0,"Caffeoyl-CoA:quinate O-(3,4-dihydroxycinnamoyl)transferase_c0"
332,R_rxn01434_d0,L-Citrulline:L-aspartate ligase (AMP-forming)_d0
333,R_rxn01454_c0,"acetyl-CoA:acetoacetyl-CoA C-acetyltransferase (thioester-hydrolysing, carboxymethyl-forming)_c0"
334,R_rxn01465_c0,(S)-dihydroorotate amidohydrolase_c0
335,R_rxn01465_d0,(S)-dihydroorotate amidohydrolase_d0
